municipality,canton,lat,lon
Aadorf,TG,47.49110367791256,8.909406420409026
Aarau,AG,47.39569409156386,8.06387652331161
Aarburg,AG,47.32318508636164,7.908129277267817
Adelboden,BE,46.47984971725232,7.5562613124306335
Adliswil,ZH,47.30718108943177,8.522798268477493
Aegerten,BE,47.11570835761727,7.283800287276738
Aesch,BL,47.47300618411515,7.590592597880237
Aesch,LU,47.260545434392434,8.245591047098532
Affoltern am Albis,ZH,47.2803763987251,8.450132663514742
Agno,TI,46.00335960708183,8.89847504998984
Aigle,VD,46.32173364302665,6.986130498008888
Allschwil,BL,47.539402528133905,7.5314664029857585
Alpnach,OW,46.945101563514264,8.243730487993167
Altdorf,UR,46.88923134284035,8.642373490358906
Altnau,TG,47.61490689318752,9.268863348957916
Altstatten,SG,47.36472268820842,9.533867932830198
Amriswil,TG,47.53775329806846,9.30360492559419
Appenzell,AI,47.333720705690496,9.406294627536862
Arbon,TG,47.519073345450686,9.418993879091154
Arisdorf,BL,47.51763508086189,7.771636840858481
Arlesheim,BL,47.493486223771036,7.6291841208186835
Avenches,VD,46.88156202954955,7.04671384223724
Baar,ZG,47.19221884278711,8.541390150698973
Bad Ragaz,SG,46.988650991576826,9.477459899253217
Baden,AG,47.46535000760045,8.295615826207202
Balsthal,SO,47.318430047070656,7.701981585633607
Bannwil,BE,47.23894490728001,7.734556283895947
Baretswil,ZH,47.3374611348977,8.873742163285598
Basel,BS,47.548474118658675,7.6004369834591925
Bauma,ZH,47.37860697094807,8.891545535958286
Bedretto,TI,46.47918967705402,8.464394669857809
Beinwil am See,AG,47.268811381264456,8.199780823160044
Bellikon,AG,47.39073136701357,8.349574626044687
Bellinzona,TI,46.20176119722346,9.033997544391294
Berikon,AG,47.35560430491304,8.380071386335965
Beringen,SH,47.70119365374739,8.572781936096598
Bern,BE,46.941934531649466,7.3935902292010205
Berneck,SG,47.42498988820736,9.611835545113756
Bettlach,SO,47.214312388874454,7.4209973038549295
Biberist,SO,47.186025506413536,7.541529892733798
Biel/Bienne,BE,47.14172583740589,7.242803119309259
Binningen,BL,47.53617039247408,7.56570238955829
Birmensdorf,ZH,47.35223823841997,8.439574535654229
Birsfelden,BL,47.55218894217378,7.628973233596843
Bischofszell,TG,47.49682426072354,9.215319557761392
Bonaduz,GR,46.79925996615311,9.366212512895556
Bonstetten,ZH,47.316832622636134,8.466330455916255
Boswil,AG,47.29948236033713,8.304964502848772
Boudry,NE,46.95476704269418,6.815606674322575
Bremgarten,AG,47.352454803371494,8.33552250914078
Brugg,AG,47.475684281889926,8.194927307300249
Buchrain,LU,47.10502809047561,8.345438181614389
Buchs,SG,47.1571629294219,9.458521395270962
Buchs,AG,47.392986799022175,8.088288834954668
Buchs,ZH,47.46147095117612,8.442561705518397
Buhler,AR,47.38204719517825,9.428526021747818
Bulach,ZH,47.529087805847034,8.540201080595569
Bulle,FR,46.60717989132414,7.042537563707437
Buochs,NW,46.96040723731494,8.42155806818664
Burgdorf,BE,47.05040377230414,7.617792544268812
Bussnang,TG,47.532924714894676,9.093318739911707
Cadenazzo,TI,46.14763082348564,8.940311113648876
Carouge,GE,46.176323504579145,6.13844295078133
Caslano,TI,45.971372767426594,8.87615961482197
Cham,ZG,47.20690997878304,8.44419540014246
Cheseaux-sur-Lausanne,VD,46.581739163123466,6.594836796718107
Chiasso,TI,45.82632978300444,9.018780335762726
Chur,GR,46.84635774561911,9.56025362115986
Churwalden,GR,46.801480625155364,9.548452378529564
Collombey-Muraz,VS,46.273865232563686,6.912279983329339
Coppet,VD,46.31782692005107,6.1878169844910325
Corbeyrier,VD,46.375610519014934,6.9793950290265405
Crans-Montana,VS,46.3140225574804,7.509863259046306
Crissier,VD,46.56505538046084,6.577145912169293
Dachsen,ZH,47.65834095040154,8.627436444599326
Dagmersellen,LU,47.21299284003398,8.005525785493589
Dallikon,ZH,47.438480204503314,8.43083300517938
Davos,GR,46.73821617258029,9.810525240997764
Degersheim,SG,47.387789292033965,9.18278411187698
Delemont,JU,47.37307209829496,7.336123683282403
Derendingen,SO,47.19039112175207,7.590293820407221
Dielsdorf,ZH,47.47290527473323,8.454579523019664
Diepoldsau,SG,47.387814619805965,9.64059649657851
Dietikon,ZH,47.39988091352145,8.398123747268206
Dietlikon,ZH,47.42130872691587,8.61701076563559
Dietwil,AG,47.1494653737195,8.391340285690898
Domat/Ems,GR,46.8165724410884,9.456284420406392
Dubendorf,ZH,47.38620231252803,8.613786228319599
Dulliken,SO,47.34465232542254,7.948072316494791
Durnten,ZH,47.2750266533911,8.853796676064716
Durrenasch,AG,47.3179266542903,8.153522500664247
Ebikon,LU,47.07732019040154,8.337583931848364
Eclepens,VD,46.65626954437328,6.552318538815673
Ecublens,VD,46.52634548073783,6.558392465292166
Egerkingen,SO,47.32562069749768,7.792613733732594
Egg,ZH,47.297128248310955,8.697205354385604
Eggiwil,BE,46.873147792430636,7.791650580324916
Eich,LU,47.16507211383458,8.17364106614197
Einsiedeln,SZ,47.123214964536274,8.766408340328999
Elgg,ZH,47.477663941954354,8.859117771809048
Embrach,ZH,47.507002339028176,8.598864857836356
Emmen,LU,47.09512040518766,8.291002358169846
Ettingen,BL,47.47831012189208,7.545784537582296
Evionnaz,VS,46.14957157615631,6.941990685746464
Eysins,VD,46.37921311707633,6.205893958552895
Fallanden,ZH,47.36834991812196,8.632574763991263
Fehraltorf,ZH,47.38810199821662,8.749525668010905
Felsberg,GR,46.856774901147524,9.456278472069313
Fetigny,FR,46.79812177179815,6.917322631209975
Flums,SG,47.053547713687905,9.286781348083537
Fraubrunnen,BE,47.088050615701505,7.520129925983268
Frauenfeld,TG,47.55091520230259,8.897609159096705
Freienbach,SZ,47.18973904071174,8.769906143010532
Fribourg,FR,46.80442901508341,7.157065594460318
Frick,AG,47.50965884960942,8.013920464055742
Frutigen,BE,46.559272323679544,7.621796013173247
Gals,BE,47.039515059109405,7.0717367207072925
